ThÃ¨me;CatÃ©gorie;Mot francais;Synonyme francais;Description;Traduction;TradEG;TradD;TradA;TradH;TradAv;TradP;TradX
Nature;Plantes Potageres;Laitue Romaine;;;Lachugo Longo Lachugard;;;;;;Longo;Lachugard
Nature;Plantes Potageres;Laitue Sauvage;;;Lachugo Féro Lachuguetto;;;Féro;;Lachuguetto;;
Nature;Plantes Potageres;Laitue Vivace;;;Cendrau Breule Couscouriho Sauto Voulame Garcirous Lesego;;;;;;;Voulame Garcirous Lesego
Nature;Plantes Potageres;Laurier Sauce;;;Lausié Ou Baguié Aussi Lauzier Ou Laurier Baguier Baguie Loousié Loouzié Baguié Ou Escrin Laurié Lau;;;Baguier;;Loousié Loouzié;Baguie;Escrin Lausié
Nature;Plantes Potageres;Légume;;;Erre Aussi Lieoume;;;;;;Lieoume;
Nature;Plantes Potageres;Lentilles;;;Lentiho Lentilho Lentihoun Trilobée;;;Lentiho Lentilho;;;;Trilobée
Nature;Plantes Potageres;Lentilles DEau;;;Limoun Nadoun Pampaieto Tirounado;;;;;;;Limoun Nadoun Pampaieto Tirounado
Nature;Plantes Potageres;Lieoume;;;Légumes En Général Lioume Petit Fruit Et Herbes Potagéres;;;Général;;Potagéres;;
Nature;Plantes Potageres;Maés;;;Blad Di Roumo Ou Babarié Ou Mays Blad De Barbarie Bla De Barbarie Blad De Roumo Indoun Meio Mihas Bl;;;Barbarie;;Barbarie;;Roumo Indoun Meio Mihas Turqués
Nature;Plantes Potageres;Melon DEau;;;CougourdoPerCounfi Melon Blanc é Confire Meraviho Espéce De Melon DEau;;;;;CougourdoPerCounfi;;DEau
Nature;Plantes Potageres;Melons;;;Meloun Mauvais Melon Barato A;;;Meloun;;Meloun;Meloun;Meloun
Nature;Plantes Potageres;;;;Meloun DIvér De Morée Galous Cantaloup Poupoun;;;;;;;Cantaloup Poupoun
Nature;Plantes Potageres;Menthe;;;Mento;;;Mento;;;;
Nature;Plantes Potageres;Menthe Des Champs;;;FausPulégi;;;;;;;FausPulégi
Nature;Plantes Potageres;Navet;;;Navéou Naveou Navéu;;;Navéou;;Naveou;;Navéu
Nature;Plantes Potageres;Navet Rond;;;Rabo Fort Commun En Haute Provence Gros Navet Blanc Rond Large Et Applati Rabioun Petite Rave Ou Rav;;;Rabo;;Provence Ravette;;
Nature;Plantes Potageres;Oignon Sauvage;;;Pourriolo;;;;;;;Pourriolo
Nature;Plantes Potageres;Oignon Sorte;;;Boutasso;;;;;;;Boutasso
Nature;Plantes Potageres;Oignons Verts;;;Sebetto Sebeto Ciboule Sebetto Petit Oignon Ou Ciboulette Cebetto Cebouleto Civeto;;;;;Ciboulette Cebetto;Sebeto;Cebouleto Civeto
Nature;Plantes Potageres;Oignons;;;Sebo Rés De SeboTresse DOignons Cebo Ou Sebo Ignoun Cebo;;;Sebo;;Cebo;Sebo;Ignoun
Nature;Plantes Potageres;;;;Sebo Griado Germé Seboula Plant Cebaio Oignons En Général;;;;;;Plant;Général
Nature;Plantes Potageres;;;;Sebo Renardiévo Oignons Montés En Graine;;;;;Graine;;
Nature;Plantes Potageres;Oignons Petit;;;Cebetto;;;;;;;
Nature;Plantes Potageres;Origan;;;Menugueto Ourigan Ou Majurano Fero Aussi Menuguetto Ourigan MajhuranoFéro Est Un Diurétique Manuguet;;;Menugueto Fero Menuguetto;;Menuguetto MajhuranoFéro Manuguetto;Ourigan;Féro
Nature;Plantes Potageres;Orobe;Pois Nains Pois De Pigeon;;BelleisViando Ou Merevilhos Mereviho Menuvihoun;;;;;Merevilhos Mereviho;;Menuvihoun
Nature;Plantes Potageres;Pastéque;;;Pastéquo Pastequo Pastéco Gergelino Pastéque Ronde;;;Pastequo;;Pastéco;;Ronde
